Measure,Matched Attack ID
2,675
5,577
0,577
9,560
6,98
4,446
2,184
8,560
0,675
3,446
1,578
7,608
0,577
4,669
6,568
2,584
9,560
2,675
0,575
8,644
3,446
5,678
7,608
1,578
4,675
7,608
6,675
5,675
3,446
2,584
0,577
9,560
0,675
1,578
2,675
8,560
9,560
9,560
2,584
1,578
4,446
7,608
9,651
9,651
3,446
0,577
2,675
6,98
0,675
8,560
9,651
5,578
4,446
4,675
5,675
9,560
2,577
4,446
9,560
9,560
2,675
9,560
9,560
2,584
4,577
6,675
5,675
7,608
2,675
4,577
3,446
8,675
9,560
1,578
6,675
0,675
8,560
0,577
3,446
8,560
7,608
4,446
4,446
3,446
6,675
8,560
8,675
6,675
4,446
9,560
0,577
5,675
9,560
9,560
3,446
1,578
2,675
4,446
2,675
4,446
8,675
5,675
7,608
9,560
9,560
0,675
9,560
2,675
2,675
7,608
6,568
1,578
9,560
3,446
8,560
5,577
2,675
7,608
0,577
4,675
2,584
0,675
3,446
0,577
7,608
6,98
1,578
2,675
9,560
0,675
5,578
2,584
8,560
4,675
3,446
1,578
5,578
6,98
0,577
2,675
9,560
0,675
8,560
2,584
7,608
4,675
0,675
9,560
4,446
9,560
9,560
1,578
8,675
4,446
2,675
6,675
5,675
7,97
8,675
6,675
4,446
9,560
9,560
0,577
9,560
4,446
2,675
5,675
3,446
2,675
3,446
7,97
8,560
4,446
8,560
1,578
2,584
4,669
0,577
5,675
9,560
0,675
3,446
6,98
7,608
2,184
0,675
7,608
2,184
3,446
2,675
5,675
6,578
9,560
4,446
1,578
0,577
8,560
2,184
7,608
5,187
1,578
0,575
4,669
9,560
8,644
2,675
3,446
0,560
6,98
1,578
2,675
7,97
2,675
4,446
8,560
9,560
3,446
6,675
5,675
0,577
0,675
3,446
8,644
9,560
0,575
2,675
5,187
4,669
2,184
1,578
0,560
7,608
6,98
