Measure,Matched Attack ID
6,669
5,575
8,63
9,62
7,141
5,185
5,578
4,669
5,98
7,141
6,669
6,669
3,584
2,24
8,98
5,578
5,98
5,568
8,578
7,141
3,584
8,578
1,24
5,98
5,568
9,578
4,24
1,608
6,673
9,62
5,185
8,63
1,608
5,575
5,577
7,141
8,63
5,200
6,253
5,185
5,98
7,575
9,577
5,98
1,608
7,141
2,675
1,675
4,675
6,675
9,568
5,568
2,675
5,98
1,675
4,675
3,584
3,584
8,568
5,568
4,675
3,584
1,608
3,584
8,63
4,187
1,7
5,200
6,253
8,575
9,577
8,63
5,98
5,568
2,24
5,98
7,575
5,98
8,63
6,253
5,31
7,577
9,577
5,185
9,578
6,253
4,24
7,575
1,608
5,185
5,31
8,63
5,98
2,7
2,24
1,608
7,575
4,187
9,578
5,185
6,669
8,63
5,31
5,98
5,98
9,62
6,669
8,63
1,608
5,97
7,575
5,185
8,100
5,100
5,98
5,100
9,100
7,98
6,100
7,587
9,578
5,98
5,185
8,63
6,669
5,577
5,200
5,98
8,63
9,577
5,185
6,253
7,575
9,578
6,253
5,185
5,98
8,63
7,575
5,97
5,185
6,176
5,98
3,584
2,24
5,63
8,63
4,187
7,575
9,578
1,608
1,608
6,253
5,97
9,577
7,575
8,63
5,98
5,185
