,Measure,Capec Id,MiniLM,ATTACK,GPT,Mpnet,Multilingual,Jaccard
0,T1548,Defense Evasion,0.53,0.13,0.81,0.27,0.47,0.06
0,T1548,Privilege Escalation,0.78,0.8,0.9,0.67,0.84,0.16
0,T1548.002,Defense Evasion,0.41,0.17,0.79,0.32,0.34,0.08
0,T1548.002,Privilege Escalation,0.65,0.78,0.86,0.61,0.62,0.15
0,T1548.004,Defense Evasion,0.43,0.16,0.75,0.24,0.35,0.1
0,T1548.004,Privilege Escalation,0.64,0.73,0.84,0.58,0.64,0.13
0,T1548.001,Defense Evasion,0.24,0.18,0.75,0.28,0.36,0.08
0,T1548.001,Privilege Escalation,0.54,0.71,0.8,0.55,0.48,0.13
0,T1548.003,Defense Evasion,0.35,-0.01,0.79,0.26,0.33,0.07
0,T1548.003,Privilege Escalation,0.54,0.52,0.84,0.46,0.56,0.1
0,T1548.006,Defense Evasion,0.44,0.17,0.76,0.31,0.38,0.09
0,T1548.006,Privilege Escalation,0.56,0.72,0.79,0.53,0.53,0.12
0,T1548.005,Defense Evasion,0.25,0.04,0.76,0.21,0.34,0.07
0,T1548.005,Privilege Escalation,0.51,0.58,0.84,0.48,0.64,0.12
0,T1134,Defense Evasion,0.48,0.09,0.78,0.26,0.38,0.12
0,T1134,Privilege Escalation,0.6,0.54,0.84,0.48,0.49,0.17
0,T1134.002,Defense Evasion,0.42,0.09,0.75,0.28,0.41,0.13
0,T1134.002,Privilege Escalation,0.54,0.54,0.81,0.54,0.6,0.16
0,T1134.003,Defense Evasion,0.34,0.03,0.78,0.22,0.43,0.1
0,T1134.003,Privilege Escalation,0.52,0.53,0.83,0.52,0.58,0.16
0,T1134.004,Defense Evasion,0.43,0.25,0.76,0.3,0.31,0.09
0,T1134.004,Privilege Escalation,0.51,0.56,0.8,0.44,0.46,0.12
0,T1134.005,Defense Evasion,0.36,0.07,0.76,0.26,0.33,0.09
0,T1134.005,Privilege Escalation,0.51,0.62,0.82,0.49,0.5,0.15
0,T1134.001,Defense Evasion,0.33,0.04,0.76,0.18,0.4,0.11
0,T1134.001,Privilege Escalation,0.46,0.48,0.81,0.47,0.45,0.12
0,T1531,Impact,0.43,0.41,0.86,0.56,0.61,0.11
0,T1087,Discovery,0.42,0.24,0.84,0.45,0.48,0.11
0,T1087.004,Discovery,0.18,0.17,0.75,0.22,0.22,0.09
0,T1087.002,Discovery,0.28,0.22,0.81,0.4,0.43,0.09
0,T1087.003,Discovery,0.21,0.22,0.76,0.31,0.26,0.09
0,T1087.001,Discovery,0.35,0.22,0.81,0.54,0.45,0.12
0,T1098,Persistence,0.36,0.31,0.86,0.43,0.56,0.15
0,T1098,Privilege Escalation,0.68,0.47,0.88,0.54,0.55,0.14
0,T1098.001,Persistence,0.2,0.37,0.81,0.32,0.47,0.08
0,T1098.001,Privilege Escalation,0.35,0.21,0.82,0.33,0.51,0.1
0,T1098.003,Persistence,0.38,0.3,0.8,0.3,0.47,0.08
0,T1098.003,Privilege Escalation,0.56,0.54,0.84,0.44,0.56,0.14
0,T1098.006,Persistence,0.36,0.32,0.79,0.33,0.51,0.11
0,T1098.006,Privilege Escalation,0.56,0.48,0.82,0.43,0.55,0.15
0,T1098.002,Persistence,0.36,0.36,0.79,0.41,0.46,0.1
0,T1098.002,Privilege Escalation,0.52,0.43,0.84,0.46,0.59,0.13
0,T1098.007,Persistence,0.39,0.38,0.82,0.45,0.51,0.09
0,T1098.007,Privilege Escalation,0.62,0.54,0.84,0.56,0.49,0.13
0,T1098.005,Persistence,0.36,0.37,0.8,0.35,0.48,0.09
0,T1098.005,Privilege Escalation,0.37,0.26,0.8,0.3,0.44,0.12
0,T1098.004,Persistence,0.33,0.4,0.78,0.28,0.41,0.09
