Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
2,9,0.51,0.34,0.35,0.58
2,4,0.43,0.34,0.35,0.48
2,6,0.43,0.27,0.32,0.48
2,3,0.33,0.27,0.3,0.48
2,7,0.32,0.24,0.3,0.48
2,0,0.26,0.22,0.28,0.45
2,5,0.25,0.22,0.28,0.45
2,8,0.24,0.22,0.22,0.45
2,1,0.24,0.2,0.22,0.34
2,2,0.24,0.16,0.22,0.31
3,4,0.1,0.23,0.09,0.27
3,1,0.1,0.21,0.08,0.24
3,3,0.09,0.16,0.06,0.24
3,0,0.08,0.16,0.06,0.24
3,7,0.08,0.13,0.05,0.24
3,9,0.08,0.13,0.05,0.21
3,2,0.08,0.09,0.05,0.17
3,6,0.06,0.07,0.05,0.17
3,5,0.03,0.07,0.0,0.17
3,8,0.03,0.07,-0.0,0.17
4,4,0.32,0.36,0.32,0.41
4,1,0.32,0.3,0.26,0.41
4,3,0.32,0.25,0.25,0.41
5,3,0.37,0.27,0.29,0.43
5,4,0.37,0.21,0.24,0.39
5,7,0.37,0.21,0.24,0.36
5,8,0.37,0.21,0.24,0.36
5,9,0.37,0.21,0.23,0.35
5,6,0.33,0.2,0.23,0.33
5,0,0.32,0.2,0.22,0.33
5,1,0.29,0.2,0.22,0.31
5,2,0.26,0.2,0.22,0.31
5,5,0.22,0.13,0.19,0.31
6,2,0.31,0.26,0.36,0.47
7,2,0.33,0.24,0.22,0.23
7,9,0.33,0.23,0.21,0.21
8,2,0.4,0.43,0.3,0.47
9,2,0.34,0.28,0.28,0.43
10,2,0.31,0.23,0.22,0.44
10,9,0.31,0.2,0.2,0.44
11,4,0.19,0.28,0.27,0.41
12,4,0.37,0.31,0.2,0.48
16,4,0.16,0.25,0.13,0.4
16,6,0.16,0.16,0.11,0.4
16,9,0.11,0.16,0.09,0.4
16,3,0.09,0.13,0.09,0.36
16,5,0.09,0.1,0.09,0.36
16,7,0.08,0.1,0.09,0.36
18,4,0.27,0.2,0.15,0.44
20,4,0.37,0.27,0.22,0.45
20,9,0.32,0.13,0.21,0.45
21,7,0.4,0.22,0.33,0.41
21,9,0.4,0.22,0.33,0.41
21,4,0.39,0.22,0.33,0.39
22,9,0.38,0.29,0.21,0.49
25,4,0.27,0.25,0.18,0.26
25,3,0.27,0.18,0.14,0.24
25,0,0.27,0.17,0.14,0.21
25,6,0.27,0.16,0.13,0.21
25,9,0.27,0.16,0.12,0.21
25,1,0.22,0.16,0.12,0.2
25,7,0.2,0.11,0.12,0.2
25,5,0.19,0.09,0.12,0.2
25,2,0.19,0.07,0.06,0.18
25,8,0.18,0.07,0.06,0.18
26,4,0.27,0.19,0.2,0.34
26,3,0.27,0.19,0.2,0.26
27,4,0.18,0.14,0.14,0.37
27,2,0.18,0.07,0.12,0.37
28,4,0.31,0.37,0.3,0.46
28,6,0.31,0.37,0.27,0.38
28,9,0.31,0.37,0.26,0.38
28,2,0.29,0.37,0.26,0.35
28,3,0.29,0.37,0.26,0.35
28,5,0.26,0.34,0.26,0.35
28,7,0.26,0.34,0.24,0.35
28,0,0.22,0.34,0.24,0.33
28,8,0.2,0.34,0.18,0.33
28,1,0.13,0.34,0.18,0.19
29,3,0.29,0.24,0.23,0.4
29,4,0.29,0.22,0.23,0.4
30,9,0.32,0.18,0.21,0.34
30,4,0.29,0.17,0.21,0.34
30,6,0.29,0.17,0.21,0.31
30,3,0.22,0.17,0.19,0.31
30,5,0.22,0.17,0.19,0.3
30,7,0.22,0.17,0.17,0.3
30,2,0.19,0.17,0.17,0.28
30,8,0.18,0.11,0.14,0.28
30,0,0.18,0.11,0.12,0.22
30,1,0.13,0.11,0.11,0.15
33,4,0.31,0.29,0.31,0.37
34,4,0.33,0.29,0.22,0.39
34,7,0.33,0.25,0.21,0.39
35,4,0.25,0.08,0.16,0.47
35,9,0.25,0.05,0.16,0.43
35,6,0.23,0.05,0.16,0.42
36,1,0.32,0.26,0.27,0.41
37,4,0.49,0.48,0.42,0.55
37,9,0.49,0.23,0.36,0.55
37,7,0.46,0.23,0.35,0.55
37,3,0.42,0.23,0.35,0.48
37,0,0.41,0.23,0.34,0.44
37,6,0.41,0.2,0.34,0.44
38,4,0.22,0.17,0.19,0.43
38,2,0.22,0.17,0.18,0.32
38,3,0.22,0.15,0.18,0.32
38,6,0.22,0.15,0.18,0.32
39,9,0.33,0.29,0.23,0.42
39,4,0.31,0.29,0.23,0.39
40,4,0.29,0.11,0.2,0.34
40,9,0.29,0.11,0.2,0.34
40,2,0.24,0.07,0.2,0.34
41,4,0.37,0.35,0.27,0.47
41,7,0.37,0.34,0.27,0.47
41,5,0.37,0.33,0.27,0.46
41,6,0.37,0.3,0.27,0.44
41,9,0.37,0.3,0.24,0.44
42,4,0.36,0.32,0.31,0.42
42,9,0.36,0.28,0.31,0.39
42,7,0.22,0.28,0.31,0.38
43,4,0.21,0.29,0.29,0.51
44,4,0.24,0.18,0.19,0.34
45,2,0.26,0.19,0.13,0.4
45,4,0.26,0.13,0.13,0.4
46,2,0.27,0.24,0.2,0.36
46,3,0.27,0.23,0.17,0.36
47,2,0.34,0.33,0.33,0.64
47,3,0.34,0.32,0.28,0.64
49,4,0.27,0.2,0.1,0.4
49,9,0.23,0.19,0.1,0.4
49,6,0.21,0.13,0.07,0.29
49,3,0.15,0.13,0.04,0.26
49,1,0.15,0.08,0.04,0.26
49,8,0.15,0.08,0.04,0.26
49,0,0.12,0.07,0.04,0.25
49,7,0.12,0.06,0.04,0.25
49,2,0.12,0.03,0.04,0.18
49,5,0.12,0.03,0.04,0.18
50,9,0.3,0.18,0.26,0.51
50,4,0.29,0.18,0.24,0.4
51,7,0.33,0.08,0.19,0.34
52,4,0.31,0.27,0.28,0.39
52,1,0.31,0.22,0.28,0.34
53,1,0.06,0.12,0.15,0.25
53,3,0.06,0.12,0.14,0.25
53,4,0.06,0.12,0.13,0.25
53,9,0.06,0.12,0.13,0.23
53,7,0.06,0.08,0.13,0.19
53,0,0.05,0.08,0.13,0.18
53,2,0.04,0.05,0.13,0.18
53,6,0.04,0.04,0.08,0.18
53,8,0.04,0.04,0.08,0.13
53,5,-0.02,0.03,0.06,0.11
54,4,0.42,0.28,0.3,0.5
54,2,0.42,0.28,0.28,0.43
54,1,0.42,0.26,0.27,0.43
54,3,0.42,0.23,0.27,0.43
54,7,0.42,0.23,0.27,0.42
54,9,0.42,0.19,0.26,0.42
54,6,0.34,0.17,0.23,0.42
54,0,0.25,0.17,0.19,0.34
54,5,0.19,0.1,0.17,0.33
54,8,0.19,0.07,0.11,0.33
55,4,0.29,0.33,0.29,0.37
55,9,0.25,0.23,0.19,0.37
55,3,0.23,0.18,0.19,0.31
55,6,0.23,0.14,0.19,0.31
55,7,0.19,0.14,0.18,0.31
55,2,0.16,0.14,0.18,0.24
55,8,0.11,0.14,0.16,0.21
55,0,0.1,0.12,0.16,0.2
55,5,0.09,0.12,0.16,0.17
55,1,0.05,0.12,0.07,0.14
57,3,0.41,0.38,0.42,0.5
57,9,0.38,0.38,0.42,0.47
57,4,0.37,0.38,0.42,0.46
57,7,0.36,0.27,0.3,0.46
57,6,0.35,0.27,0.3,0.44
57,1,0.29,0.27,0.26,0.44
59,4,0.36,0.15,0.27,0.38
61,4,0.38,0.16,0.27,0.42
61,9,0.38,0.16,0.26,0.42
62,9,0.39,0.2,0.3,0.41
62,4,0.34,0.2,0.29,0.41
62,6,0.34,0.14,0.28,0.41
62,7,0.32,0.14,0.27,0.41
62,5,0.26,0.14,0.27,0.4
62,3,0.26,0.14,0.23,0.37
62,2,0.25,0.14,0.22,0.37
62,0,0.21,0.14,0.21,0.37
62,1,0.17,0.14,0.18,0.37
62,8,0.16,0.14,0.17,0.37
64,4,0.22,0.27,0.19,0.31
64,3,0.22,0.22,0.19,0.3
64,9,0.21,0.22,0.19,0.29
64,7,0.2,0.22,0.19,0.27
64,6,0.19,0.22,0.19,0.26
64,2,0.17,0.22,0.15,0.26
64,1,0.14,0.22,0.15,0.26
64,0,0.14,0.18,0.15,0.22
64,5,0.13,0.14,0.15,0.22
64,8,0.11,0.11,0.09,0.22
65,1,0.43,0.25,0.32,0.46
65,4,0.43,0.24,0.32,0.46
65,2,0.43,0.21,0.3,0.43
65,3,0.43,0.2,0.29,0.43
67,2,0.26,0.25,0.26,0.36
68,9,0.28,0.28,0.3,0.46
69,2,0.37,0.39,0.3,0.45
70,9,0.31,0.26,0.22,0.45
70,4,0.28,0.26,0.22,0.36
70,0,0.25,0.14,0.22,0.36
70,6,0.25,0.14,0.19,0.36
70,7,0.21,0.14,0.19,0.36
71,4,0.15,0.27,0.14,0.39
71,1,0.15,0.23,0.14,0.39
71,9,0.15,0.17,0.13,0.39
72,4,0.26,0.28,0.17,0.29
74,9,0.35,0.31,0.3,0.37
74,4,0.27,0.31,0.3,0.36
75,2,0.33,0.18,0.24,0.39
75,6,0.33,0.14,0.2,0.39
75,7,0.26,0.14,0.18,0.39
75,9,0.23,0.14,0.17,0.37
77,2,0.34,0.29,0.22,0.4
77,7,0.34,0.28,0.17,0.4
78,4,0.19,0.22,0.19,0.36
79,3,0.17,0.25,0.26,0.37
79,4,0.15,0.25,0.25,0.33
80,4,0.17,0.29,0.19,0.36
80,9,0.16,0.29,0.19,0.36
80,1,0.15,0.29,0.19,0.32
81,7,0.35,0.25,0.21,0.39
81,9,0.35,0.25,0.21,0.35
81,4,0.28,0.25,0.2,0.35
83,9,0.24,0.16,0.23,0.27
83,4,0.21,0.16,0.23,0.24
84,4,0.29,0.18,0.27,0.36
87,4,0.29,0.31,0.37,0.38
87,9,0.29,0.3,0.32,0.38
87,3,0.26,0.29,0.32,0.38
87,6,0.26,0.29,0.32,0.36
87,7,0.25,0.29,0.31,0.36
87,5,0.18,0.29,0.31,0.29
87,2,0.17,0.29,0.28,0.29
87,1,0.16,0.29,0.27,0.29
87,0,0.16,0.25,0.25,0.29
87,8,0.16,0.25,0.22,0.29
88,2,0.34,0.27,0.21,0.43
90,9,0.42,0.25,0.29,0.49
90,4,0.32,0.25,0.29,0.4
90,6,0.32,0.2,0.29,0.39
92,2,0.22,0.3,0.23,0.34
92,3,0.22,0.29,0.2,0.34
93,7,0.32,0.3,0.27,0.36
93,4,0.32,0.3,0.27,0.32
93,9,0.32,0.23,0.27,0.29
93,3,0.3,0.23,0.27,0.28
94,0,0.42,0.35,0.36,0.36
95,2,0.29,0.25,0.3,0.47
95,3,0.29,0.22,0.29,0.47
95,7,0.27,0.21,0.27,0.47
96,2,0.13,0.22,0.15,0.24
97,4,0.36,0.36,0.23,0.5
97,9,0.29,0.24,0.22,0.5
98,5,0.28,0.41,0.28,0.33
98,9,0.27,0.38,0.27,0.33
100,2,0.23,0.3,0.22,0.36
100,3,0.23,0.28,0.22,0.36
101,9,0.34,0.2,0.26,0.45
101,2,0.34,0.19,0.26,0.43
101,4,0.34,0.16,0.26,0.43
101,6,0.34,0.15,0.23,0.43
101,7,0.3,0.15,0.22,0.43
101,3,0.28,0.15,0.21,0.38
102,4,0.29,0.19,0.31,0.36
102,9,0.29,0.09,0.26,0.36
103,4,0.33,0.14,0.2,0.33
103,5,0.33,0.14,0.18,0.29
105,3,0.31,0.24,0.28,0.38
105,4,0.31,0.24,0.28,0.36
105,7,0.31,0.19,0.26,0.36
107,4,0.32,0.21,0.3,0.38
108,9,0.23,0.14,0.18,0.36
110,0,0.29,0.23,0.3,0.37
110,9,0.29,0.22,0.3,0.37
110,7,0.26,0.21,0.3,0.35
110,3,0.25,0.21,0.29,0.35
111,4,0.27,0.27,0.27,0.29
111,7,0.27,0.16,0.24,0.29
112,9,0.33,0.35,0.24,0.48
112,4,0.32,0.35,0.24,0.44
