Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.51,0.49,0.64,0.61
1,0,0.34,0.31,0.47,0.57
1,5,0.34,0.28,0.47,0.57
1,4,0.34,0.26,0.47,0.56
1,9,0.3,0.24,0.47,0.51
1,6,0.29,0.24,0.38,0.51
1,1,0.2,0.21,0.38,0.41
1,3,0.2,0.2,0.3,0.37
1,7,0.1,0.18,0.28,0.37
1,2,0.06,0.18,0.26,0.37
4,5,0.23,0.25,0.27,0.38
4,0,0.23,0.23,0.27,0.37
5,8,0.37,0.25,0.32,0.39
6,0,0.35,0.23,0.39,0.44
6,5,0.28,0.21,0.39,0.41
6,4,0.27,0.21,0.39,0.35
6,9,0.24,0.21,0.39,0.34
6,1,0.23,0.21,0.38,0.34
6,8,0.23,0.21,0.36,0.32
6,3,0.23,0.19,0.27,0.31
6,6,0.21,0.19,0.26,0.31
6,2,0.14,0.17,0.22,0.28
6,7,0.0,0.09,0.16,0.2
10,0,0.3,0.21,0.23,0.45
10,4,0.28,0.2,0.23,0.39
10,5,0.22,0.19,0.23,0.39
10,1,0.21,0.19,0.23,0.35
10,9,0.21,0.19,0.22,0.34
10,8,0.19,0.19,0.21,0.34
10,3,0.18,0.19,0.16,0.34
10,6,0.18,0.15,0.14,0.34
10,2,0.09,0.1,0.08,0.34
10,7,-0.03,0.04,0.07,0.26
11,0,0.2,0.24,0.27,0.37
11,1,0.17,0.2,0.27,0.37
11,2,0.13,0.2,0.26,0.37
11,5,0.13,0.18,0.26,0.34
11,4,0.13,0.16,0.26,0.3
11,8,0.11,0.16,0.26,0.28
11,9,0.11,0.12,0.25,0.23
11,6,0.11,0.12,0.18,0.22
11,3,0.07,0.12,0.12,0.19
11,7,-0.07,0.1,0.06,0.17
12,1,0.31,0.27,0.25,0.48
12,5,0.31,0.23,0.22,0.48
12,0,0.31,0.21,0.21,0.47
13,4,0.3,0.31,0.27,0.47
13,0,0.28,0.31,0.27,0.47
13,1,0.26,0.31,0.27,0.32
14,0,0.31,0.17,0.27,0.44
14,1,0.28,0.13,0.27,0.44
14,5,0.28,0.12,0.24,0.44
14,4,0.28,0.1,0.23,0.41
14,6,0.17,0.1,0.23,0.36
14,9,0.17,0.1,0.23,0.35
14,3,0.16,0.1,0.21,0.35
14,2,0.15,0.08,0.21,0.35
14,8,0.14,0.02,0.21,0.27
14,7,-0.04,-0.07,0.04,0.21
15,0,0.32,0.29,0.29,0.59
15,8,0.27,0.28,0.29,0.59
15,5,0.27,0.24,0.26,0.59
15,4,0.27,0.24,0.26,0.48
15,9,0.23,0.24,0.26,0.44
15,6,0.19,0.23,0.24,0.44
15,1,0.17,0.2,0.24,0.44
15,3,0.17,0.2,0.14,0.34
15,2,0.12,0.19,0.13,0.34
15,7,0.02,0.08,0.04,0.34
16,9,0.13,0.32,0.19,0.44
16,8,0.13,0.21,0.19,0.4
18,0,0.25,0.2,0.2,0.43
18,5,0.2,0.16,0.2,0.43
18,1,0.18,0.16,0.2,0.41
18,4,0.18,0.13,0.16,0.38
19,4,0.27,0.26,0.27,0.43
19,5,0.23,0.24,0.27,0.43
19,0,0.23,0.23,0.27,0.43
19,8,0.23,0.2,0.27,0.37
20,7,0.23,0.6,0.27,0.59
20,9,0.23,0.21,0.26,0.48
20,5,0.22,0.14,0.26,0.48
21,8,0.41,0.25,0.38,0.48
21,9,0.34,0.23,0.37,0.44
21,5,0.34,0.12,0.33,0.4
21,4,0.34,0.1,0.33,0.39
21,1,0.34,0.09,0.33,0.34
21,0,0.34,0.09,0.3,0.31
21,6,0.34,0.09,0.28,0.29
21,3,0.31,0.08,0.28,0.29
21,2,0.19,0.03,0.18,0.29
21,7,0.14,-0.0,0.15,0.29
22,9,0.3,0.28,0.3,0.59
22,1,0.29,0.21,0.3,0.59
22,0,0.29,0.2,0.23,0.59
22,5,0.29,0.2,0.23,0.59
22,4,0.29,0.2,0.2,0.5
22,6,0.27,0.2,0.2,0.42
22,3,0.23,0.2,0.2,0.4
22,8,0.23,0.16,0.2,0.4
22,2,0.15,0.16,0.15,0.4
22,7,0.11,0.14,0.14,0.4
23,0,0.35,0.27,0.31,0.47
23,5,0.35,0.24,0.31,0.43
23,4,0.35,0.23,0.31,0.37
23,1,0.29,0.23,0.31,0.34
23,2,0.29,0.23,0.25,0.32
23,6,0.29,0.22,0.25,0.32
23,9,0.27,0.22,0.25,0.3
23,8,0.25,0.22,0.24,0.27
23,3,0.23,0.22,0.22,0.26
23,7,0.09,0.11,0.14,0.26
24,0,0.21,0.23,0.19,0.39
24,1,0.19,0.23,0.19,0.39
24,5,0.19,0.23,0.16,0.39
24,4,0.19,0.23,0.16,0.37
24,9,0.16,0.23,0.16,0.34
24,8,0.15,0.18,0.12,0.34
24,6,0.14,0.18,0.08,0.31
24,3,0.07,0.18,0.08,0.3
24,2,-0.01,0.17,0.07,0.3
24,7,-0.02,0.14,-0.03,0.23
25,1,0.3,0.27,0.25,0.37
26,0,0.23,0.24,0.27,0.39
26,4,0.23,0.23,0.27,0.36
26,8,0.22,0.23,0.27,0.36
26,1,0.2,0.23,0.26,0.33
26,5,0.17,0.23,0.26,0.32
26,2,0.16,0.21,0.23,0.29
26,9,0.16,0.18,0.23,0.22
26,3,0.16,0.18,0.18,0.2
26,6,0.16,0.18,0.18,0.15
26,7,-0.01,0.05,0.06,0.12
28,0,0.32,0.46,0.35,0.48
28,5,0.31,0.4,0.35,0.48
28,1,0.31,0.4,0.33,0.45
28,4,0.31,0.4,0.32,0.37
28,9,0.26,0.4,0.32,0.36
28,6,0.21,0.4,0.3,0.36
28,2,0.19,0.4,0.3,0.34
28,3,0.18,0.4,0.3,0.32
28,8,0.15,0.23,0.3,0.31
28,7,-0.02,0.11,0.06,0.21
29,0,0.24,0.29,0.3,0.42
32,0,0.23,0.22,0.27,0.36
32,9,0.22,0.22,0.26,0.36
32,5,0.22,0.17,0.24,0.36
32,4,0.22,0.17,0.24,0.27
35,0,0.24,0.13,0.2,0.47
36,8,0.3,0.3,0.34,0.5
36,9,0.29,0.3,0.34,0.5
36,4,0.29,0.22,0.29,0.5
36,5,0.26,0.21,0.29,0.5
36,6,0.26,0.2,0.28,0.44
36,0,0.25,0.17,0.28,0.44
36,3,0.25,0.17,0.27,0.39
36,1,0.14,0.13,0.27,0.39
36,2,0.08,0.06,0.15,0.32
36,7,0.03,0.05,0.11,0.31
37,0,0.41,0.34,0.47,0.58
37,5,0.41,0.34,0.46,0.58
37,1,0.39,0.34,0.46,0.49
38,0,0.23,0.14,0.23,0.44
38,4,0.17,0.12,0.23,0.38
38,5,0.17,0.11,0.23,0.38
38,8,0.16,0.1,0.21,0.36
38,1,0.15,0.1,0.2,0.35
38,9,0.14,0.1,0.2,0.32
38,3,0.14,0.09,0.12,0.32
38,2,0.09,0.08,0.12,0.32
38,6,0.09,0.08,0.12,0.24
38,7,-0.08,-0.04,0.03,0.24
41,9,0.3,0.27,0.28,0.49
41,0,0.3,0.26,0.26,0.49
41,1,0.24,0.25,0.26,0.49
41,5,0.24,0.24,0.25,0.49
43,9,0.25,0.38,0.34,0.59
43,0,0.25,0.29,0.27,0.59
43,5,0.19,0.29,0.27,0.59
45,0,0.25,0.17,0.15,0.4
46,0,0.27,0.24,0.2,0.35
47,0,0.31,0.29,0.25,0.55
47,5,0.31,0.26,0.25,0.47
47,1,0.31,0.25,0.25,0.41
48,0,0.19,0.12,0.18,0.32
48,1,0.13,0.08,0.18,0.32
49,9,0.23,0.35,0.16,0.44
51,1,0.33,0.15,0.28,0.32
52,5,0.26,0.28,0.3,0.38
53,9,0.02,0.21,0.16,0.26
53,5,0.01,0.21,0.13,0.26
53,6,0.01,0.21,0.12,0.24
54,0,0.4,0.29,0.28,0.48
55,9,0.25,0.38,0.3,0.44
58,8,0.35,0.34,0.43,0.47
58,5,0.33,0.14,0.32,0.47
58,4,0.33,0.14,0.32,0.44
58,9,0.3,0.14,0.32,0.35
58,6,0.29,0.14,0.31,0.34
58,0,0.27,0.14,0.31,0.32
58,2,0.21,0.14,0.28,0.32
58,1,0.21,0.11,0.28,0.31
58,3,0.21,0.11,0.18,0.26
58,7,0.14,0.11,0.18,0.26
60,1,0.25,0.18,0.31,0.36
60,8,0.25,0.14,0.26,0.36
60,9,0.25,0.14,0.24,0.36
60,0,0.25,0.12,0.23,0.36
60,5,0.25,0.12,0.22,0.36
60,4,0.22,0.12,0.18,0.31
60,2,0.21,0.12,0.18,0.26
60,6,0.2,0.1,0.18,0.24
60,3,0.15,0.1,0.18,0.21
60,7,-0.01,0.03,0.02,0.21
62,9,0.32,0.18,0.32,0.47
63,8,0.31,0.36,0.34,0.42
63,5,0.31,0.34,0.32,0.42
63,0,0.31,0.34,0.32,0.41
63,4,0.31,0.32,0.32,0.39
63,6,0.27,0.27,0.32,0.31
63,9,0.23,0.25,0.32,0.31
63,1,0.23,0.23,0.31,0.31
63,3,0.23,0.22,0.16,0.27
63,2,0.11,0.14,0.14,0.27
63,7,0.04,-0.0,0.09,0.24
64,0,0.22,0.27,0.2,0.3
