Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.26,0.23,0.4,0.48
5,3,0.33,0.34,0.37,0.44
11,9,0.21,0.24,0.29,0.37
28,9,0.32,0.4,0.35,0.47
35,9,0.23,0.06,0.23,0.5
66,9,0.3,0.34,0.33,0.34
87,3,0.25,0.34,0.36,0.4
105,3,0.28,0.26,0.31,0.42
108,9,0.19,0.12,0.24,0.38
158,3,0.39,0.42,0.35,0.57
166,9,0.3,0.14,0.18,0.4
173,9,0.31,0.24,0.31,0.45
192,3,0.4,0.39,0.39,0.52
219,3,0.33,0.24,0.25,0.43
220,3,0.41,0.37,0.39,0.49
252,9,0.22,0.18,0.17,0.33
285,3,0.27,0.17,0.21,0.47
291,3,0.36,0.27,0.25,0.39
293,3,0.35,0.31,0.38,0.33
294,3,0.3,0.32,0.3,0.49
297,3,0.18,0.16,0.1,0.4
298,3,0.25,0.16,0.13,0.43
299,3,0.22,0.19,0.18,0.5
300,3,0.34,0.23,0.32,0.54
301,3,0.28,0.23,0.26,0.53
302,3,0.26,0.27,0.23,0.49
303,3,0.27,0.27,0.25,0.52
304,3,0.21,0.24,0.19,0.51
307,3,0.39,0.06,0.29,0.35
308,3,0.29,0.2,0.32,0.47
329,3,0.34,0.25,0.34,0.39
330,3,0.36,0.3,0.36,0.42
390,3,0.44,0.45,0.46,0.59
440,9,0.42,0.47,0.39,0.45
465,3,0.17,0.27,0.2,0.44
469,3,0.23,0.29,0.25,0.46
481,3,0.25,0.37,0.23,0.4
482,3,0.32,0.33,0.26,0.51
486,3,0.32,0.33,0.24,0.49
487,3,0.32,0.35,0.28,0.49
488,3,0.29,0.27,0.26,0.43
489,3,0.28,0.44,0.32,0.51
492,9,0.2,0.22,0.24,0.3
493,3,0.25,0.21,0.29,0.37
494,3,0.25,0.31,0.16,0.42
495,3,0.26,0.27,0.17,0.34
528,3,0.32,0.22,0.27,0.37
533,9,0.42,0.5,0.5,0.52
544,0,0.48,0.6,0.51,0.39
582,3,0.41,0.39,0.31,0.45
584,3,0.29,0.37,0.36,0.44
590,3,0.36,0.24,0.1,0.5
595,3,0.29,0.32,0.2,0.38
596,3,0.25,0.26,0.24,0.38
599,3,0.26,0.26,0.27,0.27
601,3,0.32,0.28,0.28,0.41
606,3,0.24,0.22,0.13,0.53
615,3,0.35,0.26,0.27,0.5
620,3,0.32,0.23,0.2,0.6
635,2,0.18,0.13,0.2,0.32
657,9,0.45,0.37,0.44,0.54
699,3,0.25,0.17,0.17,0.51
702,2,0.31,0.33,0.41,0.34
