Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
4,9,0.32,0.36,0.32,0.41
4,3,0.29,0.36,0.32,0.41
6,9,0.31,0.26,0.36,0.47
9,6,0.34,0.28,0.28,0.43
12,9,0.37,0.31,0.2,0.48
12,3,0.33,0.31,0.2,0.48
22,9,0.38,0.29,0.21,0.49
28,6,0.31,0.37,0.3,0.46
28,9,0.31,0.37,0.3,0.46
28,3,0.29,0.37,0.3,0.46
28,7,0.26,0.37,0.3,0.46
28,2,0.23,0.37,0.3,0.46
28,0,0.22,0.34,0.3,0.46
28,5,0.2,0.34,0.3,0.46
28,8,0.2,0.34,0.3,0.46
34,6,0.33,0.29,0.22,0.39
39,9,0.33,0.29,0.23,0.42
41,9,0.37,0.35,0.27,0.47
42,9,0.36,0.32,0.31,0.42
51,7,0.33,0.08,0.19,0.34
54,9,0.42,0.28,0.3,0.5
54,7,0.36,0.28,0.3,0.5
54,3,0.35,0.28,0.3,0.5
54,6,0.34,0.28,0.3,0.5
54,2,0.33,0.28,0.3,0.5
61,6,0.38,0.16,0.27,0.42
61,9,0.38,0.16,0.27,0.42
62,9,0.39,0.2,0.3,0.41
65,9,0.43,0.25,0.32,0.46
65,3,0.39,0.25,0.32,0.46
65,2,0.37,0.25,0.32,0.46
65,6,0.35,0.25,0.32,0.46
65,7,0.33,0.25,0.32,0.46
74,9,0.35,0.31,0.3,0.37
75,6,0.33,0.18,0.24,0.39
77,9,0.34,0.29,0.22,0.4
77,6,0.33,0.29,0.22,0.4
81,9,0.35,0.25,0.21,0.39
87,9,0.29,0.31,0.37,0.38
87,6,0.26,0.31,0.37,0.38
87,7,0.25,0.31,0.37,0.38
87,3,0.23,0.31,0.37,0.38
88,6,0.34,0.27,0.21,0.43
90,9,0.42,0.25,0.29,0.49
97,4,0.36,0.36,0.23,0.5
101,6,0.34,0.2,0.26,0.45
103,6,0.33,0.14,0.2,0.33
114,9,0.44,0.37,0.35,0.5
114,6,0.37,0.31,0.32,0.42
114,4,0.36,0.31,0.32,0.42
115,6,0.36,0.25,0.28,0.5
117,9,0.37,0.31,0.31,0.5
117,3,0.35,0.31,0.31,0.5
117,7,0.35,0.31,0.31,0.5
124,9,0.38,0.19,0.3,0.34
133,9,0.26,0.42,0.32,0.4
141,6,0.27,0.33,0.35,0.41
141,9,0.26,0.33,0.35,0.41
141,2,0.22,0.33,0.35,0.41
141,3,0.19,0.33,0.35,0.41
141,7,0.18,0.33,0.35,0.41
143,6,0.31,0.45,0.32,0.37
162,0,0.38,0.38,0.27,0.35
166,9,0.33,0.14,0.13,0.4
167,9,0.29,0.3,0.34,0.42
167,6,0.28,0.3,0.34,0.42
167,3,0.27,0.3,0.34,0.42
167,2,0.25,0.3,0.34,0.42
179,9,0.35,0.17,0.38,0.46
180,6,0.44,0.28,0.19,0.61
191,6,0.3,0.25,0.33,0.37
