Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
158,9,0.43,0.43,0.42,0.58
158,3,0.4,0.39,0.37,0.55
161,9,0.43,0.44,0.42,0.45
192,3,0.39,0.36,0.42,0.47
192,9,0.37,0.36,0.4,0.46
216,3,0.38,0.42,0.37,0.44
220,3,0.42,0.38,0.41,0.45
294,9,0.34,0.34,0.35,0.48
438,0,0.44,0.43,0.45,0.39
439,0,0.51,0.63,0.63,0.5
446,0,0.53,0.65,0.61,0.49
446,1,0.37,0.52,0.39,0.43
456,9,0.46,0.4,0.49,0.42
517,0,0.46,0.39,0.45,0.52
520,0,0.41,0.45,0.39,0.34
521,0,0.44,0.43,0.43,0.43
522,0,0.48,0.5,0.51,0.39
530,0,0.45,0.45,0.48,0.45
544,0,0.45,0.64,0.59,0.4
582,3,0.4,0.36,0.36,0.44
582,9,0.35,0.34,0.33,0.42
583,9,0.38,0.34,0.38,0.45
