Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,8,0.47,0.37,0.54,0.52
1,4,0.32,0.32,0.54,0.52
1,0,0.32,0.28,0.42,0.47
1,3,0.27,0.16,0.38,0.47
2,9,0.34,0.35,0.36,0.56
3,7,0.17,0.36,0.13,0.23
3,9,0.17,0.17,0.13,0.2
3,3,0.17,0.12,0.12,0.19
3,1,0.1,0.12,0.07,0.19
3,0,0.1,0.1,0.06,0.16
3,4,0.1,0.1,0.06,0.16
3,6,0.09,0.1,0.03,0.16
3,8,0.09,0.05,0.02,0.16
3,5,0.06,0.05,-0.01,0.16
3,2,-0.04,-0.02,-0.04,0.0
4,4,0.3,0.3,0.38,0.45
4,3,0.25,0.22,0.3,0.4
4,0,0.24,0.22,0.3,0.4
4,9,0.22,0.22,0.3,0.4
5,4,0.37,0.37,0.35,0.39
5,9,0.35,0.37,0.35,0.38
6,4,0.32,0.23,0.41,0.39
6,3,0.29,0.23,0.35,0.39
7,4,0.3,0.26,0.32,0.22
7,0,0.28,0.26,0.25,0.22
7,1,0.2,0.26,0.2,0.22
7,3,0.2,0.17,0.18,0.2
7,7,0.2,0.17,0.18,0.2
7,5,0.19,0.14,0.18,0.2
7,9,0.15,0.12,0.18,0.2
7,6,0.15,0.11,0.1,0.11
7,8,0.12,0.09,0.1,0.11
7,2,0.01,0.09,0.08,0.11
8,4,0.32,0.41,0.32,0.52
8,0,0.31,0.25,0.23,0.47
8,3,0.3,0.23,0.23,0.47
8,5,0.22,0.22,0.15,0.47
8,1,0.22,0.18,0.15,0.41
9,4,0.29,0.25,0.33,0.44
9,3,0.28,0.22,0.27,0.42
9,0,0.25,0.22,0.26,0.42
9,8,0.25,0.17,0.23,0.42
9,1,0.19,0.16,0.23,0.42
9,5,0.19,0.12,0.2,0.42
9,9,0.19,0.12,0.2,0.31
9,6,0.19,0.08,0.18,0.28
9,7,0.08,0.02,0.08,0.28
9,2,0.01,0.02,0.07,0.14
10,4,0.29,0.24,0.31,0.35
10,0,0.28,0.17,0.27,0.35
10,3,0.26,0.17,0.27,0.33
11,4,0.22,0.17,0.29,0.4
11,0,0.22,0.17,0.25,0.39
11,1,0.2,0.17,0.2,0.39
11,6,0.17,0.17,0.18,0.39
11,5,0.12,0.12,0.17,0.39
11,7,0.12,0.12,0.17,0.3
11,8,0.12,0.1,0.17,0.25
11,3,0.08,0.09,0.17,0.25
11,9,0.05,0.09,0.17,0.23
11,2,-0.02,0.09,0.11,0.18
12,4,0.34,0.27,0.31,0.39
12,0,0.28,0.27,0.27,0.39
13,4,0.33,0.34,0.35,0.34
13,3,0.33,0.25,0.29,0.34
13,0,0.31,0.25,0.24,0.34
14,4,0.3,0.22,0.31,0.43
14,3,0.27,0.14,0.22,0.43
14,0,0.21,0.14,0.21,0.43
14,9,0.19,0.14,0.17,0.43
14,6,0.17,0.14,0.16,0.43
14,1,0.17,0.14,0.14,0.43
14,5,0.17,0.1,0.12,0.43
14,7,0.17,-0.01,0.06,0.29
14,8,0.17,-0.01,0.06,0.17
14,2,0.01,-0.01,0.05,0.17
15,0,0.26,0.26,0.27,0.45
15,4,0.26,0.21,0.24,0.45
15,3,0.22,0.19,0.21,0.43
16,9,0.15,0.38,0.16,0.39
16,7,0.15,0.2,0.16,0.37
16,0,0.12,0.11,0.16,0.36
16,4,0.12,0.09,0.14,0.36
16,8,0.1,0.09,0.14,0.36
16,3,0.1,0.08,0.13,0.36
16,6,0.03,0.08,0.09,0.36
16,1,0.02,0.06,0.09,0.36
16,5,0.01,0.06,0.05,0.36
16,2,-0.02,0.01,0.0,0.01
17,4,0.37,0.3,0.48,0.49
17,0,0.31,0.21,0.38,0.46
17,3,0.29,0.18,0.33,0.46
17,5,0.28,0.18,0.31,0.46
17,9,0.28,0.17,0.31,0.4
18,4,0.23,0.19,0.2,0.39
19,4,0.3,0.31,0.37,0.37
19,3,0.3,0.19,0.28,0.37
19,0,0.19,0.19,0.26,0.37
19,5,0.17,0.17,0.23,0.37
19,9,0.16,0.16,0.23,0.33
19,8,0.16,0.16,0.2,0.26
19,6,0.14,0.16,0.19,0.26
19,7,0.14,0.16,0.17,0.24
19,1,0.09,0.16,0.17,0.21
