Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
2,9,0.37,0.38,0.35,0.55
9,2,0.34,0.24,0.33,0.41
13,2,0.37,0.3,0.33,0.35
17,2,0.4,0.27,0.36,0.49
33,2,0.26,0.33,0.37,0.39
104,9,0.37,0.23,0.39,0.51
121,2,0.38,0.52,0.39,0.37
187,2,0.47,0.48,0.41,0.56
217,3,0.34,0.41,0.31,0.49
218,0,0.36,0.31,0.34,0.43
276,2,0.3,0.34,0.41,0.37
294,3,0.25,0.36,0.37,0.4
313,9,0.35,0.15,0.35,0.42
330,3,0.31,0.36,0.46,0.36
332,3,0.38,0.31,0.42,0.38
446,0,0.53,0.66,0.54,0.54
510,9,0.37,0.21,0.38,0.5
518,2,0.42,0.5,0.46,0.44
519,2,0.43,0.56,0.47,0.48
520,0,0.43,0.46,0.37,0.34
521,2,0.36,0.42,0.35,0.43
522,0,0.46,0.54,0.47,0.42
530,0,0.42,0.48,0.41,0.42
544,0,0.51,0.65,0.53,0.44
558,2,0.35,0.3,0.33,0.47
583,9,0.43,0.29,0.38,0.44
585,9,0.39,0.44,0.29,0.5
621,3,0.3,0.33,0.35,0.46
671,1,0.37,0.44,0.4,0.3
700,3,0.39,0.25,0.38,0.42
702,2,0.35,0.34,0.4,0.38
