Measure,Matched Attack ID
5,98
5,568
5,578
5,578
6,584
6,578
8,578
7,141
5,98
9,578
8,578
7,141
2,146
6,584
4,578
5,578
0,673
5,568
5,98
3,584
9,578
5,568
1,608
6,578
5,578
9,577
5,98
5,568
7,141
8,200
2,6
1,608
5,578
6,669
3,584
5,591
6,700
5,568
7,141
8,63
1,608
3,584
5,62
2,24
5,98
5,577
4,187
5,578
5,568
8,31
3,584
2,7
5,98
7,141
4,200
9,578
6,486
1,608
6,486
5,568
8,578
3,584
1,608
2,7
5,98
4,200
5,578
7,141
5,98
1,673
5,568
9,578
5,568
1,673
2,184
5,578
3,584
3,584
6,578
2,184
3,584
7,141
5,98
1,608
4,673
4,578
8,578
0,673
5,578
1,673
4,673
3,584
5,568
5,98
4,184
1,7
7,141
1,608
7,141
5,568
3,584
2,184
5,184
8,98
6,578
8,578
5,578
4,184
1,141
2,184
9,578
1,7
6,578
5,98
6,184
4,184
2,24
6,486
7,141
5,578
5,98
8,7
4,669
9,577
1,608
3,584
5,568
5,98
6,584
1,608
3,486
4,200
5,578
7,141
5,568
2,7
8,63
5,98
5,568
1,673
2,673
1,673
5,98
1,673
5,98
1,673
1,608
3,584
3,584
4,673
8,578
3,584
6,578
5,673
5,673
0,673
6,584
4,673
9,578
4,673
7,98
0,673
5,98
5,578
5,673
5,578
5,578
5,568
5,98
5,98
7,98
9,578
5,578
8,578
5,98
6,578
5,98
6,578
5,578
8,578
5,98
4,578
5,568
3,578
5,98
1,578
9,578
5,578
6,578
6,578
5,98
5,98
5,578
5,578
0,578
4,578
5,578
2,578
7,98
1,608
8,578
5,578
5,98
6,584
9,578
7,141
5,98
5,578
5,568
6,578
7,141
5,578
2,24
5,62
3,584
4,200
6,669
5,568
5,98
8,7
1,608
