Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
3,4,0.1,0.23,0.09,0.27
3,1,0.1,0.21,0.08,0.24
5,3,0.37,0.27,0.29,0.43
7,2,0.33,0.24,0.22,0.23
20,4,0.37,0.27,0.22,0.45
25,4,0.27,0.25,0.18,0.26
37,4,0.49,0.48,0.42,0.55
41,4,0.37,0.35,0.27,0.47
49,4,0.27,0.2,0.1,0.4
49,9,0.23,0.19,0.1,0.4
49,6,0.21,0.13,0.07,0.29
50,9,0.3,0.18,0.26,0.51
55,4,0.29,0.33,0.29,0.37
55,9,0.25,0.23,0.19,0.37
59,4,0.36,0.15,0.27,0.38
64,4,0.22,0.27,0.19,0.31
72,4,0.26,0.28,0.17,0.29
79,3,0.17,0.25,0.26,0.37
97,4,0.36,0.36,0.23,0.5
98,5,0.28,0.41,0.28,0.33
98,9,0.27,0.38,0.27,0.33
110,0,0.29,0.23,0.3,0.37
110,9,0.29,0.22,0.3,0.37
111,4,0.27,0.27,0.27,0.29
111,7,0.27,0.16,0.24,0.29
114,9,0.44,0.37,0.35,0.5
125,4,0.26,0.18,0.28,0.39
132,4,0.26,0.08,0.21,0.24
136,9,0.28,0.28,0.29,0.36
141,4,0.27,0.33,0.35,0.41
144,7,0.4,0.4,0.37,0.51
149,4,0.32,0.2,0.3,0.47
151,4,0.32,0.35,0.28,0.29
155,4,0.36,0.34,0.37,0.45
157,4,0.37,0.24,0.22,0.52
158,4,0.46,0.39,0.37,0.57
161,4,0.47,0.46,0.34,0.46
162,0,0.38,0.38,0.27,0.35
168,4,0.21,0.23,0.22,0.3
170,4,0.41,0.36,0.42,0.58
173,4,0.33,0.22,0.28,0.39
173,5,0.33,0.21,0.25,0.39
174,4,0.29,0.25,0.27,0.29
177,4,0.15,0.18,0.26,0.34
179,4,0.35,0.17,0.38,0.46
190,4,0.34,0.24,0.31,0.44
194,9,0.45,0.35,0.31,0.39
196,9,0.31,0.15,0.22,0.43
197,4,0.27,0.3,0.29,0.43
204,4,0.36,0.39,0.42,0.47
218,0,0.37,0.33,0.32,0.38
219,3,0.28,0.23,0.26,0.41
224,4,0.41,0.4,0.4,0.43
226,9,0.33,0.19,0.28,0.46
230,4,0.21,0.18,0.21,0.36
250,4,0.3,0.17,0.25,0.35
263,4,0.29,0.24,0.19,0.38
270,9,0.41,0.13,0.25,0.42
285,4,0.33,0.2,0.21,0.37
291,3,0.34,0.22,0.25,0.41
291,7,0.34,0.21,0.23,0.39
295,4,0.4,0.29,0.44,0.56
295,9,0.4,0.16,0.26,0.41
305,3,0.36,0.23,0.32,0.47
310,3,0.41,0.4,0.38,0.58
312,4,0.32,0.23,0.38,0.51
313,4,0.36,0.24,0.39,0.49
320,4,0.34,0.25,0.33,0.39
322,4,0.26,0.26,0.32,0.38
323,4,0.23,0.15,0.26,0.48
324,4,0.27,0.17,0.25,0.41
332,4,0.35,0.32,0.37,0.44
387,4,0.39,0.35,0.37,0.35
389,4,0.41,0.29,0.34,0.39
391,9,0.33,0.33,0.37,0.52
395,4,0.45,0.32,0.39,0.53
395,9,0.4,0.32,0.28,0.53
395,1,0.35,0.26,0.28,0.47
397,4,0.22,0.28,0.35,0.34
397,9,0.22,0.17,0.25,0.33
397,1,0.21,0.16,0.25,0.31
398,4,0.4,0.32,0.32,0.33
412,5,0.3,0.38,0.25,0.29
415,5,0.46,0.48,0.34,0.38
416,5,0.36,0.45,0.32,0.35
417,5,0.34,0.51,0.36,0.39
418,5,0.37,0.36,0.3,0.31
420,0,0.24,0.43,0.31,0.31
421,5,0.41,0.4,0.34,0.32
422,5,0.34,0.52,0.38,0.35
423,5,0.17,0.43,0.3,0.26
425,5,0.27,0.44,0.35,0.35
426,5,0.26,0.43,0.29,0.29
426,6,0.26,0.39,0.22,0.26
427,5,0.32,0.36,0.32,0.32
429,4,0.24,0.23,0.25,0.36
433,4,0.36,0.41,0.4,0.37
438,0,0.46,0.43,0.42,0.42
439,0,0.51,0.62,0.58,0.47
439,1,0.39,0.48,0.42,0.47
439,3,0.34,0.46,0.37,0.47
440,3,0.41,0.5,0.45,0.47
446,0,0.56,0.66,0.57,0.49
446,1,0.39,0.49,0.39,0.36
463,4,0.24,0.27,0.13,0.43
464,4,0.09,0.22,0.19,0.24
467,4,0.3,0.36,0.34,0.44
