Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,2,0.31,0.23,0.44,0.48
1,6,0.31,0.23,0.44,0.48
1,0,0.3,0.21,0.41,0.48
1,4,0.3,0.2,0.41,0.47
1,9,0.27,0.2,0.41,0.47
1,7,0.21,0.18,0.34,0.47
1,3,0.2,0.18,0.34,0.45
1,1,0.12,0.12,0.29,0.38
1,8,0.12,0.11,0.28,0.34
1,5,0.09,0.08,0.28,0.32
2,9,0.45,0.39,0.44,0.53
2,6,0.43,0.37,0.39,0.53
2,4,0.38,0.37,0.39,0.51
2,3,0.38,0.35,0.37,0.51
2,0,0.31,0.25,0.31,0.51
2,7,0.3,0.25,0.3,0.51
2,8,0.28,0.25,0.3,0.4
2,2,0.25,0.21,0.3,0.4
2,5,0.21,0.21,0.27,0.37
2,1,0.2,0.2,0.21,0.36
3,4,0.11,0.19,0.15,0.37
3,9,0.11,0.19,0.12,0.33
3,1,0.05,0.19,0.1,0.24
3,0,0.05,0.16,0.09,0.24
3,3,0.03,0.16,0.07,0.24
3,2,-0.01,0.12,0.05,0.23
3,7,-0.01,0.12,0.04,0.21
3,6,-0.01,0.1,0.03,0.21
3,5,-0.01,0.07,0.02,0.19
3,8,-0.03,0.05,0.01,0.19
4,9,0.33,0.34,0.32,0.43
4,3,0.28,0.34,0.28,0.41
4,4,0.27,0.34,0.28,0.41
4,7,0.19,0.25,0.25,0.41
4,0,0.18,0.23,0.25,0.36
5,3,0.38,0.28,0.32,0.4
5,9,0.38,0.28,0.32,0.39
5,4,0.38,0.25,0.29,0.39
5,6,0.38,0.24,0.27,0.36
5,0,0.35,0.21,0.24,0.36
5,8,0.26,0.2,0.23,0.36
5,7,0.25,0.18,0.23,0.36
5,1,0.24,0.18,0.23,0.29
5,2,0.18,0.17,0.23,0.29
5,5,0.18,0.15,0.2,0.21
6,9,0.31,0.24,0.43,0.44
6,4,0.29,0.23,0.38,0.43
6,0,0.29,0.2,0.38,0.35
6,2,0.26,0.19,0.38,0.35
6,3,0.26,0.17,0.32,0.35
6,6,0.26,0.16,0.3,0.35
6,1,0.22,0.16,0.28,0.3
6,7,0.21,0.11,0.28,0.3
6,5,0.16,0.11,0.28,0.28
6,8,0.15,0.07,0.23,0.28
7,2,0.29,0.26,0.26,0.3
7,4,0.29,0.23,0.21,0.3
7,6,0.29,0.23,0.21,0.26
7,9,0.28,0.23,0.21,0.22
7,0,0.28,0.22,0.17,0.22
7,3,0.28,0.22,0.17,0.19
7,1,0.24,0.22,0.17,0.14
7,7,0.24,0.17,0.13,0.14
7,8,0.17,0.11,0.13,0.13
7,5,0.17,0.09,0.12,0.03
8,2,0.36,0.46,0.38,0.52
8,9,0.36,0.33,0.25,0.52
8,0,0.3,0.28,0.2,0.52
8,4,0.3,0.28,0.2,0.52
8,3,0.3,0.26,0.2,0.45
8,6,0.3,0.23,0.2,0.45
8,7,0.24,0.23,0.2,0.45
8,1,0.22,0.23,0.19,0.38
8,8,0.22,0.19,0.19,0.36
8,5,0.19,0.18,0.19,0.27
9,2,0.28,0.26,0.34,0.43
9,9,0.28,0.2,0.32,0.43
10,2,0.32,0.22,0.28,0.44
10,9,0.32,0.21,0.25,0.44
11,9,0.19,0.24,0.32,0.37
11,4,0.15,0.24,0.32,0.33
11,3,0.15,0.21,0.32,0.32
11,2,0.09,0.2,0.32,0.31
11,7,0.09,0.17,0.2,0.31
11,6,0.08,0.14,0.2,0.27
12,9,0.35,0.31,0.27,0.49
12,3,0.35,0.29,0.24,0.47
12,4,0.26,0.27,0.22,0.47
12,7,0.26,0.27,0.22,0.38
12,0,0.24,0.24,0.22,0.38
12,6,0.23,0.24,0.22,0.35
12,2,0.2,0.24,0.22,0.33
12,1,0.2,0.23,0.17,0.27
12,8,0.19,0.21,0.15,0.27
12,5,0.14,0.2,0.15,0.24
14,2,0.34,0.26,0.33,0.45
14,9,0.34,0.21,0.32,0.45
14,4,0.26,0.19,0.28,0.45
14,3,0.26,0.17,0.23,0.38
15,9,0.3,0.27,0.28,0.52
15,4,0.25,0.25,0.25,0.52
16,6,0.12,0.24,0.16,0.36
16,9,0.1,0.19,0.16,0.34
16,4,0.08,0.17,0.15,0.34
16,0,0.06,0.13,0.11,0.33
16,3,0.06,0.12,0.11,0.33
16,7,0.04,0.09,0.11,0.33
16,5,0.04,0.07,0.07,0.31
16,8,0.04,0.07,0.07,0.28
16,1,0.02,0.07,0.07,0.27
16,2,-0.07,0.02,0.07,0.19
17,2,0.31,0.33,0.44,0.46
17,9,0.31,0.25,0.43,0.46
17,3,0.3,0.25,0.38,0.46
17,4,0.3,0.25,0.37,0.46
17,6,0.3,0.2,0.36,0.46
17,0,0.28,0.2,0.34,0.46
17,7,0.25,0.2,0.33,0.46
17,8,0.23,0.19,0.32,0.4
17,1,0.2,0.19,0.32,0.39
17,5,0.15,0.19,0.32,0.29
18,2,0.25,0.21,0.23,0.51
18,9,0.25,0.21,0.2,0.51
18,4,0.25,0.21,0.17,0.47
18,3,0.25,0.19,0.13,0.38
18,0,0.17,0.15,0.12,0.38
18,5,0.16,0.15,0.12,0.38
18,6,0.16,0.15,0.12,0.38
18,7,0.16,0.15,0.12,0.33
18,8,0.16,0.15,0.12,0.32
18,1,0.12,0.15,0.1,0.27
20,7,0.25,0.17,0.25,0.45
20,3,0.25,0.17,0.23,0.44
20,4,0.25,0.17,0.21,0.4
