Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
20,7,0.33,0.51,0.35,0.58
20,9,0.27,0.27,0.26,0.56
43,9,0.25,0.38,0.32,0.55
53,9,0.09,0.19,0.13,0.25
66,0,0.32,0.36,0.38,0.37
80,9,0.24,0.33,0.21,0.38
90,9,0.4,0.36,0.35,0.47
97,7,0.4,0.54,0.3,0.64
102,9,0.27,0.26,0.37,0.36
102,5,0.24,0.11,0.3,0.29
134,9,0.32,0.42,0.39,0.36
144,4,0.34,0.38,0.4,0.47
279,9,0.41,0.24,0.38,0.29
318,9,0.28,0.3,0.32,0.35
319,9,0.27,0.28,0.23,0.38
321,9,0.21,0.28,0.33,0.31
326,9,0.21,0.25,0.33,0.34
328,9,0.42,0.39,0.33,0.44
390,9,0.54,0.53,0.54,0.64
439,3,0.52,0.58,0.57,0.5
446,3,0.55,0.62,0.57,0.58
446,4,0.33,0.52,0.46,0.42
461,9,0.31,0.24,0.24,0.51
465,9,0.11,0.33,0.22,0.32
520,3,0.39,0.39,0.33,0.34
522,3,0.53,0.47,0.48,0.39
523,3,0.52,0.66,0.59,0.44
523,4,0.41,0.57,0.54,0.44
544,3,0.48,0.62,0.52,0.47
613,9,0.34,0.24,0.27,0.54
620,7,0.37,0.62,0.28,0.58
621,9,0.4,0.42,0.45,0.56
