Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,6,0.37,0.31,0.54,0.54
11,8,0.24,0.22,0.35,0.38
11,7,0.19,0.22,0.35,0.38
12,8,0.4,0.3,0.27,0.45
12,4,0.35,0.3,0.27,0.42
14,8,0.35,0.19,0.28,0.43
30,4,0.27,0.19,0.34,0.4
31,8,0.38,0.19,0.26,0.42
33,8,0.3,0.26,0.41,0.35
47,5,0.35,0.28,0.25,0.59
50,6,0.34,0.21,0.33,0.49
59,8,0.4,0.21,0.28,0.45
60,8,0.37,0.16,0.26,0.37
62,8,0.36,0.16,0.39,0.42
63,4,0.32,0.36,0.4,0.42
70,6,0.31,0.26,0.33,0.44
74,4,0.34,0.32,0.34,0.44
74,6,0.34,0.29,0.3,0.44
77,5,0.33,0.29,0.2,0.4
81,8,0.37,0.23,0.28,0.39
87,8,0.28,0.42,0.5,0.43
90,4,0.43,0.31,0.41,0.46
90,6,0.42,0.28,0.31,0.46
90,8,0.42,0.28,0.31,0.46
95,8,0.34,0.25,0.36,0.44
97,9,0.31,0.33,0.27,0.5
98,8,0.24,0.37,0.39,0.39
102,8,0.32,0.17,0.41,0.43
105,8,0.32,0.2,0.4,0.39
113,6,0.3,0.31,0.39,0.41
115,6,0.44,0.3,0.41,0.54
115,8,0.39,0.3,0.41,0.54
115,9,0.36,0.3,0.41,0.54
131,4,0.3,0.26,0.39,0.34
137,6,0.2,0.36,0.22,0.46
137,4,0.16,0.36,0.22,0.46
140,8,0.25,0.19,0.38,0.33
143,8,0.26,0.45,0.32,0.35
143,4,0.22,0.38,0.32,0.35
143,6,0.22,0.38,0.27,0.35
143,5,0.19,0.38,0.27,0.35
157,8,0.36,0.23,0.26,0.53
157,6,0.35,0.23,0.26,0.53
157,4,0.34,0.23,0.26,0.53
159,5,0.32,0.23,0.37,0.38
169,5,0.34,0.39,0.31,0.31
188,2,0.33,0.33,0.36,0.3
189,5,0.36,0.3,0.35,0.4
191,5,0.33,0.25,0.34,0.44
194,6,0.43,0.29,0.36,0.39
196,6,0.34,0.11,0.29,0.44
198,5,0.37,0.3,0.26,0.34
202,4,0.33,0.26,0.38,0.38
