Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
1,6,0.31,0.23,0.44,0.48
1,0,0.3,0.23,0.44,0.48
1,4,0.3,0.23,0.44,0.47
1,9,0.27,0.23,0.44,0.47
1,7,0.21,0.23,0.44,0.47
1,3,0.2,0.23,0.44,0.45
4,9,0.33,0.34,0.32,0.43
5,6,0.38,0.28,0.32,0.4
9,9,0.28,0.26,0.34,0.43
9,0,0.26,0.26,0.34,0.43
9,6,0.26,0.26,0.34,0.43
21,9,0.39,0.18,0.37,0.45
22,9,0.33,0.3,0.26,0.51
32,4,0.23,0.26,0.34,0.36
33,9,0.25,0.29,0.37,0.37
54,2,0.34,0.27,0.32,0.44
58,4,0.36,0.15,0.35,0.41
58,3,0.29,0.13,0.35,0.41
58,9,0.28,0.13,0.35,0.41
67,9,0.25,0.28,0.33,0.36
67,3,0.21,0.28,0.33,0.36
67,0,0.2,0.28,0.33,0.36
76,9,0.3,0.14,0.33,0.34
81,3,0.35,0.22,0.26,0.37
84,3,0.29,0.21,0.33,0.36
86,4,0.29,0.33,0.3,0.37
86,9,0.25,0.33,0.3,0.37
90,9,0.37,0.23,0.31,0.45
90,3,0.36,0.23,0.3,0.45
95,9,0.3,0.3,0.38,0.54
95,3,0.24,0.3,0.38,0.46
95,4,0.21,0.3,0.38,0.46
95,0,0.18,0.3,0.38,0.42
95,1,0.17,0.3,0.38,0.42
95,6,0.17,0.3,0.38,0.42
105,9,0.27,0.24,0.35,0.4
113,0,0.3,0.26,0.35,0.39
113,3,0.28,0.26,0.35,0.39
131,3,0.25,0.22,0.35,0.36
131,9,0.25,0.22,0.35,0.36
131,4,0.24,0.2,0.35,0.36
131,0,0.23,0.16,0.35,0.36
131,1,0.21,0.16,0.35,0.36
133,3,0.25,0.44,0.34,0.4
133,9,0.25,0.44,0.34,0.4
133,0,0.23,0.44,0.34,0.4
139,9,0.28,0.22,0.33,0.42
139,3,0.23,0.22,0.33,0.42
139,6,0.21,0.22,0.33,0.42
139,0,0.2,0.22,0.33,0.42
140,3,0.23,0.21,0.34,0.33
143,7,0.28,0.53,0.32,0.36
143,3,0.26,0.42,0.32,0.36
157,3,0.36,0.2,0.24,0.58
158,9,0.43,0.43,0.42,0.58
158,3,0.4,0.39,0.37,0.55
159,9,0.28,0.31,0.36,0.4
159,0,0.27,0.31,0.36,0.4
159,6,0.25,0.31,0.36,0.4
159,3,0.24,0.31,0.36,0.4
161,9,0.43,0.44,0.42,0.45
162,0,0.3,0.36,0.3,0.41
162,4,0.28,0.36,0.25,0.41
164,4,0.23,0.36,0.32,0.4
164,7,0.23,0.36,0.32,0.39
164,3,0.22,0.36,0.32,0.39
164,6,0.22,0.36,0.32,0.39
164,8,0.22,0.36,0.32,0.39
188,1,0.33,0.31,0.35,0.26
190,9,0.39,0.22,0.34,0.41
191,9,0.26,0.25,0.33,0.4
191,0,0.25,0.25,0.33,0.38
191,6,0.22,0.25,0.33,0.38
191,1,0.21,0.25,0.33,0.38
191,3,0.21,0.25,0.33,0.38
191,4,0.21,0.25,0.33,0.38
192,3,0.39,0.36,0.42,0.47
192,9,0.37,0.36,0.4,0.46
194,7,0.35,0.3,0.34,0.44
194,9,0.35,0.3,0.34,0.44
194,3,0.34,0.3,0.34,0.44
194,4,0.34,0.3,0.34,0.44
203,9,0.38,0.16,0.31,0.42
204,3,0.26,0.29,0.36,0.46
204,7,0.25,0.29,0.36,0.46
207,4,0.38,0.28,0.29,0.46
208,0,0.23,0.29,0.35,0.33
208,4,0.23,0.29,0.33,0.33
215,9,0.27,0.35,0.36,0.37
215,2,0.24,0.33,0.35,0.37
216,3,0.38,0.42,0.37,0.44
220,3,0.42,0.38,0.41,0.45
244,9,0.25,0.2,0.34,0.4
244,4,0.23,0.2,0.34,0.35
248,0,0.28,0.27,0.33,0.4
248,3,0.25,0.27,0.33,0.4
248,6,0.21,0.27,0.33,0.4
267,4,0.31,0.34,0.31,0.41
270,9,0.36,0.13,0.3,0.36
270,6,0.33,0.13,0.24,0.36
276,3,0.39,0.32,0.41,0.48
294,9,0.34,0.34,0.35,0.48
300,3,0.37,0.2,0.33,0.48
305,9,0.35,0.32,0.38,0.44
307,9,0.37,0.17,0.36,0.36
307,6,0.35,0.03,0.28,0.36
307,0,0.34,0.03,0.28,0.36
313,9,0.4,0.25,0.39,0.51
385,3,0.38,0.31,0.37,0.35
402,6,0.33,0.21,0.25,0.49
414,0,0.34,0.28,0.24,0.37
425,7,0.21,0.39,0.34,0.27
425,9,0.21,0.39,0.34,0.27
425,3,0.2,0.39,0.34,0.27
425,0,0.18,0.39,0.34,0.27
433,9,0.28,0.41,0.4,0.4
433,3,0.25,0.41,0.4,0.4
433,6,0.25,0.41,0.4,0.4
438,0,0.44,0.43,0.45,0.39
439,0,0.51,0.63,0.63,0.5
446,0,0.53,0.65,0.61,0.49
446,1,0.37,0.52,0.39,0.43
456,9,0.46,0.4,0.49,0.42
458,9,0.41,0.19,0.28,0.39
458,4,0.36,0.19,0.28,0.39
458,3,0.35,0.19,0.28,0.33
473,3,0.27,0.37,0.32,0.42
473,9,0.27,0.37,0.31,0.42
473,4,0.26,0.37,0.31,0.42
476,4,0.25,0.25,0.33,0.4
476,6,0.25,0.25,0.33,0.36
480,9,0.33,0.31,0.43,0.39
501,9,0.33,0.14,0.25,0.47
509,6,0.37,0.21,0.43,0.42
509,9,0.35,0.11,0.43,0.41
509,4,0.34,0.08,0.37,0.41
517,0,0.46,0.39,0.45,0.52
520,0,0.41,0.45,0.39,0.34
521,0,0.44,0.43,0.43,0.43
522,0,0.48,0.5,0.51,0.39
524,9,0.38,0.29,0.44,0.42
524,0,0.37,0.29,0.43,0.41
524,6,0.32,0.21,0.39,0.41
524,3,0.31,0.21,0.39,0.41
524,2,0.28,0.21,0.39,0.41
530,0,0.45,0.45,0.48,0.45
535,0,0.37,0.47,0.41,0.31
535,9,0.3,0.44,0.36,0.31
535,3,0.29,0.44,0.36,0.31
544,0,0.45,0.64,0.59,0.4
544,1,0.3,0.52,0.41,0.35
552,9,0.48,0.24,0.37,0.48
552,6,0.39,0.22,0.28,0.48
552,4,0.38,0.2,0.28,0.48
552,0,0.36,0.2,0.28,0.38
552,3,0.35,0.15,0.28,0.38
555,9,0.38,0.28,0.4,0.52
569,9,0.46,0.32,0.39,0.52
569,6,0.44,0.32,0.34,0.5
569,3,0.41,0.32,0.34,0.5
571,3,0.41,0.23,0.36,0.41
571,7,0.37,0.23,0.33,0.39
571,0,0.36,0.19,0.33,0.36
576,6,0.35,0.14,0.3,0.43
582,3,0.4,0.36,0.36,0.44
582,9,0.35,0.34,0.33,0.42
583,9,0.38,0.34,0.38,0.45
583,3,0.37,0.29,0.35,0.44
590,3,0.37,0.22,0.15,0.49
593,9,0.35,0.17,0.32,0.47
597,3,0.24,0.16,0.35,0.37
608,4,0.33,0.26,0.25,0.57
614,4,0.36,0.23,0.23,0.44
614,3,0.34,0.23,0.23,0.44
615,9,0.33,0.27,0.29,0.49
620,3,0.35,0.27,0.24,0.54
620,4,0.33,0.27,0.24,0.54
622,3,0.34,0.19,0.2,0.52
623,3,0.33,0.22,0.3,0.41
625,3,0.34,0.2,0.24,0.47
626,9,0.35,0.18,0.19,0.45
626,4,0.33,0.18,0.18,0.45
633,4,0.31,0.17,0.35,0.41
638,9,0.33,0.15,0.28,0.51
639,3,0.26,0.39,0.23,0.41
639,4,0.25,0.39,0.23,0.38
645,9,0.31,0.22,0.33,0.34
648,3,0.36,0.24,0.37,0.47
648,7,0.36,0.24,0.37,0.47
652,9,0.33,0.26,0.34,0.36
653,9,0.39,0.25,0.31,0.4
656,9,0.26,0.34,0.29,0.36
665,0,0.41,0.26,0.33,0.43
665,9,0.41,0.21,0.32,0.43
665,3,0.38,0.21,0.31,0.43
671,0,0.44,0.41,0.39,0.3
671,1,0.34,0.4,0.37,0.3
672,0,0.4,0.35,0.35,0.26
679,6,0.29,0.2,0.34,0.34
679,0,0.28,0.2,0.34,0.34
679,3,0.26,0.2,0.34,0.34
679,4,0.26,0.2,0.34,0.34
701,3,0.32,0.18,0.39,0.37
