Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
5,9,0.36,0.38,0.32,0.38
20,7,0.33,0.51,0.35,0.58
87,8,0.26,0.36,0.39,0.37
90,9,0.4,0.36,0.35,0.47
115,8,0.41,0.29,0.38,0.46
124,8,0.37,0.21,0.38,0.38
144,4,0.34,0.38,0.4,0.47
144,0,0.32,0.37,0.38,0.44
153,7,0.3,0.43,0.42,0.55
153,5,0.29,0.43,0.42,0.55
153,4,0.28,0.43,0.42,0.55
153,8,0.27,0.43,0.42,0.55
162,3,0.34,0.35,0.29,0.37
170,5,0.38,0.28,0.38,0.53
170,0,0.34,0.23,0.37,0.53
170,4,0.34,0.21,0.35,0.53
203,8,0.36,0.22,0.34,0.42
204,8,0.39,0.31,0.44,0.48
240,8,0.41,0.31,0.36,0.38
267,7,0.31,0.45,0.36,0.41
267,8,0.31,0.45,0.36,0.41
293,9,0.34,0.31,0.45,0.34
328,9,0.42,0.39,0.33,0.44
329,9,0.31,0.36,0.37,0.42
390,9,0.54,0.53,0.54,0.64
398,7,0.37,0.41,0.35,0.28
439,3,0.52,0.58,0.57,0.5
446,3,0.55,0.62,0.57,0.58
446,4,0.33,0.52,0.46,0.42
457,7,0.38,0.32,0.44,0.42
458,7,0.37,0.31,0.37,0.34
489,9,0.27,0.42,0.39,0.42
510,8,0.4,0.24,0.45,0.49
510,6,0.39,0.24,0.45,0.49
510,5,0.37,0.24,0.45,0.49
510,7,0.36,0.24,0.45,0.49
510,3,0.33,0.24,0.45,0.49
520,3,0.39,0.39,0.33,0.34
522,3,0.53,0.47,0.48,0.39
523,3,0.52,0.66,0.59,0.44
523,4,0.41,0.57,0.54,0.44
541,8,0.39,0.13,0.35,0.44
544,3,0.48,0.62,0.52,0.47
561,8,0.38,0.22,0.38,0.33
571,3,0.47,0.29,0.33,0.34
575,8,0.41,0.18,0.4,0.41
577,8,0.39,0.23,0.37,0.41
606,9,0.38,0.57,0.28,0.49
615,9,0.34,0.34,0.31,0.43
621,9,0.4,0.42,0.45,0.56
621,7,0.3,0.36,0.37,0.5
634,9,0.42,0.32,0.44,0.5
638,7,0.37,0.25,0.33,0.52
647,8,0.42,0.26,0.43,0.56
654,6,0.36,0.2,0.39,0.42
665,7,0.48,0.3,0.42,0.48
680,8,0.38,0.35,0.39,0.31
690,8,0.41,0.34,0.3,0.38
