Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
4,4,0.3,0.3,0.38,0.45
8,4,0.32,0.41,0.32,0.52
9,4,0.29,0.25,0.33,0.44
10,4,0.29,0.24,0.31,0.35
14,4,0.3,0.22,0.31,0.43
15,0,0.26,0.26,0.27,0.45
15,4,0.26,0.21,0.24,0.45
17,4,0.37,0.3,0.48,0.49
17,0,0.31,0.21,0.38,0.46
20,7,0.35,0.64,0.32,0.66
20,4,0.24,0.12,0.21,0.4
20,9,0.18,0.12,0.21,0.39
21,9,0.36,0.39,0.4,0.48
23,4,0.38,0.32,0.39,0.41
27,4,0.16,0.17,0.17,0.36
35,4,0.26,0.16,0.28,0.49
36,4,0.39,0.39,0.37,0.45
36,9,0.32,0.39,0.33,0.44
36,3,0.32,0.16,0.29,0.38
37,4,0.44,0.34,0.47,0.58
37,0,0.42,0.34,0.37,0.53
44,4,0.28,0.17,0.27,0.38
44,0,0.26,0.15,0.23,0.35
46,4,0.25,0.22,0.23,0.31
46,0,0.23,0.19,0.17,0.31
48,4,0.2,0.14,0.18,0.36
54,4,0.35,0.26,0.4,0.37
54,0,0.3,0.22,0.28,0.37
57,4,0.36,0.34,0.44,0.56
63,4,0.3,0.42,0.35,0.43
63,0,0.28,0.35,0.31,0.43
65,4,0.45,0.34,0.54,0.46
67,4,0.27,0.22,0.28,0.37
67,0,0.19,0.2,0.2,0.37
68,4,0.29,0.25,0.4,0.51
69,4,0.27,0.39,0.37,0.44
69,0,0.24,0.29,0.27,0.43
77,4,0.31,0.26,0.24,0.4
85,4,0.21,0.22,0.12,0.49
86,4,0.28,0.26,0.28,0.33
87,4,0.25,0.35,0.44,0.37
88,4,0.35,0.28,0.32,0.4
88,0,0.3,0.21,0.25,0.4
92,4,0.17,0.24,0.22,0.26
92,0,0.16,0.19,0.18,0.26
95,4,0.31,0.26,0.43,0.45
97,7,0.36,0.58,0.27,0.69
97,4,0.3,0.19,0.2,0.48
100,4,0.26,0.31,0.31,0.24
100,0,0.25,0.22,0.27,0.24
101,4,0.33,0.22,0.35,0.38
104,4,0.31,0.3,0.47,0.45
107,9,0.21,0.21,0.31,0.36
107,4,0.2,0.1,0.31,0.35
107,6,0.17,0.1,0.23,0.35
108,0,0.29,0.13,0.2,0.34
113,4,0.32,0.33,0.47,0.36
115,4,0.39,0.53,0.41,0.53
116,4,0.34,0.42,0.35,0.35
116,0,0.32,0.41,0.31,0.35
121,4,0.42,0.46,0.47,0.36
121,0,0.31,0.26,0.31,0.36
123,4,0.32,0.18,0.36,0.28
124,4,0.35,0.22,0.46,0.37
129,4,0.24,0.25,0.32,0.22
133,4,0.32,0.36,0.37,0.41
133,0,0.23,0.26,0.2,0.35
136,4,0.26,0.26,0.33,0.35
138,4,0.34,0.31,0.37,0.26
143,4,0.34,0.44,0.37,0.37
143,0,0.27,0.4,0.31,0.33
143,3,0.24,0.35,0.27,0.33
144,4,0.39,0.41,0.51,0.54
146,4,0.32,0.27,0.34,0.33
150,4,0.4,0.32,0.38,0.41
150,0,0.33,0.32,0.3,0.37
151,9,0.26,0.47,0.3,0.26
155,4,0.37,0.22,0.48,0.46
157,9,0.32,0.18,0.23,0.4
158,4,0.36,0.22,0.39,0.5
159,4,0.31,0.29,0.44,0.39
159,0,0.31,0.15,0.3,0.32
164,9,0.31,0.49,0.36,0.38
166,4,0.32,0.23,0.21,0.31
167,4,0.33,0.36,0.46,0.34
170,4,0.37,0.26,0.4,0.46
175,4,0.26,0.28,0.36,0.23
176,4,0.29,0.26,0.3,0.33
179,4,0.28,0.12,0.43,0.41
184,4,0.36,0.4,0.4,0.54
185,4,0.34,0.44,0.4,0.41
185,0,0.28,0.27,0.29,0.41
186,4,0.4,0.52,0.4,0.43
187,4,0.48,0.54,0.55,0.63
189,4,0.33,0.28,0.38,0.28
192,4,0.34,0.37,0.44,0.48
192,7,0.32,0.37,0.32,0.41
192,9,0.3,0.24,0.32,0.4
195,9,0.25,0.39,0.27,0.24
196,9,0.34,0.43,0.27,0.42
198,4,0.36,0.34,0.32,0.33
201,4,0.32,0.19,0.34,0.39
204,4,0.39,0.26,0.5,0.48
206,4,0.36,0.29,0.3,0.39
208,0,0.31,0.23,0.33,0.35
212,4,0.42,0.58,0.47,0.37
212,0,0.39,0.43,0.38,0.37
216,4,0.45,0.35,0.48,0.53
218,9,0.41,0.34,0.43,0.39
219,4,0.33,0.22,0.3,0.32
220,4,0.39,0.37,0.48,0.45
220,9,0.35,0.37,0.4,0.45
220,7,0.33,0.33,0.38,0.4
221,4,0.27,0.2,0.21,0.36
224,4,0.41,0.24,0.37,0.38
224,0,0.34,0.18,0.27,0.38
224,3,0.29,0.18,0.26,0.34
226,9,0.32,0.46,0.29,0.39
226,4,0.26,0.07,0.27,0.37
229,4,0.3,0.29,0.25,0.42
233,4,0.36,0.48,0.4,0.27
240,4,0.38,0.33,0.45,0.36
240,0,0.38,0.32,0.36,0.34
242,4,0.28,0.25,0.29,0.29
242,9,0.25,0.22,0.22,0.29
245,9,0.2,0.25,0.17,0.36
250,4,0.33,0.19,0.42,0.34
250,0,0.27,0.16,0.33,0.34
251,4,0.26,0.18,0.24,0.36
252,4,0.2,0.15,0.13,0.3
253,4,0.29,0.17,0.26,0.35
263,4,0.28,0.26,0.28,0.37
270,4,0.29,0.13,0.27,0.37
271,4,0.36,0.33,0.45,0.35
272,4,0.34,0.34,0.37,0.41
287,4,0.32,0.19,0.34,0.36
291,4,0.39,0.28,0.3,0.46
293,4,0.24,0.16,0.36,0.3
294,4,0.21,0.18,0.3,0.39
296,4,0.29,0.17,0.26,0.43
297,1,0.19,0.16,0.07,0.36
299,4,0.24,0.14,0.13,0.39
300,4,0.34,0.09,0.29,0.42
302,4,0.29,0.15,0.12,0.38
303,4,0.27,0.16,0.15,0.38
304,4,0.26,0.15,0.1,0.38
