Attack Pattern,Measure,MiniLM,ATTACK,Mpnet,Multilingual
6,4,0.32,0.23,0.41,0.39
6,3,0.29,0.23,0.35,0.39
12,4,0.34,0.27,0.31,0.39
16,7,0.15,0.38,0.16,0.39
19,3,0.3,0.31,0.37,0.37
23,4,0.38,0.32,0.39,0.41
23,0,0.37,0.24,0.31,0.41
30,3,0.25,0.2,0.33,0.37
39,4,0.34,0.3,0.24,0.48
47,0,0.34,0.28,0.32,0.44
49,7,0.2,0.43,0.11,0.37
52,0,0.32,0.34,0.34,0.28
54,4,0.35,0.26,0.4,0.37
55,4,0.23,0.42,0.26,0.4
55,3,0.22,0.42,0.26,0.37
55,7,0.2,0.42,0.21,0.37
63,4,0.3,0.42,0.35,0.43
64,0,0.16,0.34,0.17,0.38
64,8,0.16,0.34,0.17,0.38
64,3,0.14,0.34,0.17,0.38
64,4,0.14,0.34,0.17,0.38
64,5,0.13,0.34,0.14,0.38
64,6,0.13,0.34,0.14,0.38
64,9,0.11,0.34,0.14,0.38
65,4,0.45,0.34,0.54,0.46
71,0,0.22,0.36,0.16,0.4
71,4,0.16,0.36,0.16,0.4
71,3,0.14,0.36,0.16,0.4
71,8,0.14,0.36,0.16,0.4
71,6,0.12,0.36,0.16,0.4
71,5,0.1,0.36,0.16,0.4
75,4,0.36,0.3,0.3,0.36
78,0,0.19,0.36,0.19,0.34
78,4,0.19,0.36,0.19,0.34
78,3,0.18,0.36,0.19,0.34
78,8,0.16,0.36,0.15,0.34
80,0,0.24,0.4,0.17,0.38
87,1,0.25,0.35,0.44,0.37
87,8,0.25,0.35,0.44,0.37
93,4,0.29,0.37,0.3,0.35
105,3,0.27,0.19,0.35,0.38
111,3,0.29,0.21,0.36,0.33
113,4,0.32,0.33,0.47,0.36
113,3,0.31,0.21,0.33,0.36
113,0,0.29,0.21,0.33,0.36
120,0,0.17,0.52,0.15,0.43
124,4,0.35,0.22,0.46,0.37
126,8,0.26,0.21,0.39,0.34
126,0,0.22,0.21,0.39,0.34
135,4,0.27,0.35,0.43,0.25
137,0,0.16,0.4,0.22,0.44
137,4,0.16,0.4,0.22,0.44
137,3,0.14,0.4,0.22,0.44
137,8,0.13,0.4,0.18,0.44
137,5,0.12,0.4,0.18,0.44
139,0,0.25,0.25,0.38,0.37
140,0,0.29,0.2,0.43,0.33
143,4,0.34,0.44,0.37,0.37
144,4,0.39,0.41,0.51,0.54
149,0,0.3,0.18,0.41,0.33
150,4,0.4,0.32,0.38,0.41
155,4,0.37,0.22,0.48,0.46
155,0,0.35,0.22,0.31,0.43
164,9,0.31,0.49,0.36,0.38
164,7,0.24,0.39,0.31,0.38
164,4,0.23,0.39,0.31,0.38
164,0,0.21,0.39,0.31,0.38
164,5,0.17,0.39,0.31,0.38
177,4,0.24,0.23,0.39,0.34
184,4,0.36,0.4,0.4,0.54
184,0,0.31,0.3,0.36,0.49
184,3,0.31,0.3,0.34,0.49
187,4,0.48,0.54,0.55,0.63
188,4,0.39,0.28,0.38,0.24
216,4,0.45,0.35,0.48,0.53
224,4,0.41,0.24,0.37,0.38
